time;outcome;strata;estimate;std.error;conf.low;conf.high;n.risk;n.event;n.censor;cum.event;cum.censor;time_max
12;1;1;0,140684411;0,021483969;0,10181587;0,185695085;226;37;0;37;0;266,0855263
24;1;1;0,243870891;0,026837629;0,193173837;0,297869204;180;26;17;63;17;266,0855263
48;1;1;0,409664457;0,032026109;0,346601388;0,471599091;112;37;20;100;37;266,0855263
12;1;2;0,044454978;0,008219057;0,030270624;0,062586586;600;28;2;28;2;440,9210526
24;1;2;0,071319777;0,01038065;0,052768761;0,0934642;523;16;50;44;52;440,9210526
48;1;2;0,137108553;0,014447099;0,110292694;0,166821395;388;35;87;79;139;440,9210526
12;1;3;0,063863555;0,015480519;0,038021906;0,098798541;231;14;2;16;2;372,3684211
24;1;3;0,096685652;0,018808103;0,063900188;0,137448423;208;8;13;24;15;372,3684211
48;1;3;0,146379371;0,02301209;0,104794316;0,194589073;171;11;22;35;37;372,3684211
12;1;4;0,210376543;0,019007232;0,174403088;0,248710982;363;95;2;97;2;353,5526316
24;1;4;0,303620164;0,021656253;0,261766133;0,346432781;286;41;32;138;34;353,5526316
48;1;4;0,448527144;0,024404534;0,400178061;0,495627084;170;56;46;194;80;353,5526316
12;1;5;0,291814947;0,027177331;0,239694261;0,345769768;198;82;0;82;0;222,8947368
24;1;5;0,399021214;0,029516868;0,341027679;0,456294403;151;29;17;111;17;222,8947368
48;1;5;0,571058327;0,031389772;0,507096423;0,629862161;83;40;22;151;39;222,8947368
12;1;6;0,337931034;0,039451254;0,261938639;0,415356238;96;49;0;49;0;123,6
24;1;6;0,521108811;0,041978785;0,43585314;0,599549723;64;26;5;75;5;123,6
48;1;6;0,724525379;0,039150045;0,639144897;0,79296587;31;26;5;101;10;123,6
12;1;7;0,609195402;0,052849336;0,49735198;0,703503232;34;53;0;53;0;139,7
24;1;7;0,668920927;0,051301745;0,557464245;0,758302263;24;5;2;58;2;139,7
48;1;7;0,711958251;0,050925532;0,598528324;0,798621654;10;3;6;61;8;139,7